"Work Item Type","Title","State","Area Path","Iteration Path","Priority","Story Points","Description","Acceptance Criteria","Tags","Parent Title (referencia)"
"Task","T2.2.4 - Testes end-to-end no ambiente Azure","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Validacao E2E no ambiente real.","Dependencias: T2.2.3","KuraVet;Cloud","PBI 2.2 - CRUD Funcional na Nuvem"
"Product Backlog Item","PBI 3.1 - Health Check, Logs Estruturados e Metricas","New","KuraVet","KuraVet\Release 1\Sprint 3","2","8","Microsservico .NET isolado com endpoints de health check, logging estruturado via Serilog e metricas via OpenTelemetry.","Endpoints /health e /health/ready implementados; logs estruturados em JSON via Serilog com correlacao de request id; metricas expostas via OpenTelemetry; servico isolado sem acoplamento.","KuraVet;.NET;Observabilidade","Microsservico .NET (Observabilidade e Qualidade)"
"Task","T3.1.1 - Criar projeto .NET isolado","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Estrutura base do microsservico.","Dependencias: -","KuraVet;.NET","PBI 3.1 - Health Check, Logs Estruturados e Metricas"
"Task","T3.1.2 - Health Checks (liveness/readiness)","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Implementacao dos endpoints de health check.","Dependencias: T3.1.1","KuraVet;.NET","PBI 3.1 - Health Check, Logs Estruturados e Metricas"
"Task","T3.1.3 - Configurar Serilog","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Logs estruturados em JSON.","Dependencias: T3.1.1","KuraVet;.NET","PBI 3.1 - Health Check, Logs Estruturados e Metricas"
"Task","T3.1.4 - Configurar OpenTelemetry","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Metricas exportadas via OpenTelemetry.","Dependencias: T3.1.1","KuraVet;.NET","PBI 3.1 - Health Check, Logs Estruturados e Metricas"
"Task","T3.1.5 - Containerizacao do microsservico","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Dockerfile e build da imagem.","Dependencias: T3.1.2;T3.1.3;T3.1.4","KuraVet;.NET","PBI 3.1 - Health Check, Logs Estruturados e Metricas"
"Product Backlog Item","PBI 3.2 - Testes Automatizados (xUnit, Moq, AAA)","New","KuraVet","KuraVet\Release 1\Sprint 3","3","5","Testes de unidade e integracao do microsservico utilizando xUnit, Moq e o padrao AAA.","Testes de unidade com Moq para dependencias; testes de integracao validando health checks via WebApplicationFactory; estrutura AAA explicita; cobertura minima documentada (ex.: 70%).","KuraVet;.NET;Testes","Microsservico .NET (Observabilidade e Qualidade)"
"Task","T3.2.1 - Testes de unidade (xUnit + Moq, AAA)","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Testes de unidade da logica isolada.","Dependencias: PBI 3.1","KuraVet;.NET","PBI 3.2 - Testes Automatizados (xUnit, Moq, AAA)"
"Task","T3.2.2 - Testes de integracao de endpoints","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Testes via WebApplicationFactory.","Dependencias: PBI 3.1","KuraVet;.NET","PBI 3.2 - Testes Automatizados (xUnit, Moq, AAA)"
"Task","T3.2.3 - Relatorio de cobertura e evidencias","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Geracao e documentacao do relatorio de cobertura.","Dependencias: T3.2.1;T3.2.2","KuraVet;.NET","PBI 3.2 - Testes Automatizados (xUnit, Moq, AAA)"
"Product Backlog Item","PBI 4.1 - Views Thymeleaf e Banco Versionado (Flyway)","New","KuraVet","KuraVet\Release 1\Sprint 3","2","8","Modulo administrativo monolitico com views server-side em Thymeleaf e banco versionado via Flyway.","Telas administrativas funcionais via Thymeleaf; migrations Flyway versionadas aplicadas no startup; rollback de migration testado em homologacao.","KuraVet;Java;SpringBoot","Monolito Java (Spring Boot)"
"Task","T4.1.1 - Setup Spring Boot + Flyway","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Setup do projeto e migrations iniciais.","Dependencias: -","KuraVet;Java","PBI 4.1 - Views Thymeleaf e Banco Versionado (Flyway)"
"Task","T4.1.2 - Views Thymeleaf (listagem/cadastro)","New","KuraVet","KuraVet\Release 1\Sprint 3","","3","Implementacao das telas administrativas.","Dependencias: T4.1.1","KuraVet;Java","PBI 4.1 - Views Thymeleaf e Banco Versionado (Flyway)"
"Task","T4.1.3 - Testes de migration (apply/rollback)","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Validacao de aplicacao e rollback de migrations.","Dependencias: T4.1.1","KuraVet;Java","PBI 4.1 - Views Thymeleaf e Banco Versionado (Flyway)"
"Task","T4.1.4 - Ajustes de UX e validacao server-side","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Refinamento de formularios e validacoes.","Dependencias: T4.1.2","KuraVet;Java","PBI 4.1 - Views Thymeleaf e Banco Versionado (Flyway)"
"Product Backlog Item","PBI 4.2 - Seguranca por Perfis (Spring Security)","New","KuraVet","KuraVet\Release 1\Sprint 3","2","5","Protecao de rotas do monolito com Spring Security, com dois perfis de acesso (ADMIN e VETERINARIO).","Login funcional protegendo rotas administrativas; dois perfis com permissoes distintas testadas; senhas com hashing seguro (BCrypt); testes de autorizacao documentados.","KuraVet;Java;Seguranca","Monolito Java (Spring Boot)"
"Task","T4.2.1 - Configuracao Spring Security","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Configuracao de autenticacao base.","Dependencias: PBI 4.1","KuraVet;Java","PBI 4.2 - Seguranca por Perfis (Spring Security)"
"Task","T4.2.2 - Perfis ADMIN/VETERINARIO e regras de rota","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Definicao dos perfis e autorizacoes.","Dependencias: T4.2.1","KuraVet;Java","PBI 4.2 - Seguranca por Perfis (Spring Security)"
"Task","T4.2.3 - Testes de autorizacao por perfil","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Validacao de acesso negado/permitido por perfil.","Dependencias: T4.2.2","KuraVet;Java","PBI 4.2 - Seguranca por Perfis (Spring Security)"
"Product Backlog Item","PBI 4.3 - API JSON Paralela para o App Mobile","New","KuraVet","KuraVet\Release 1\Sprint 3","3","5","API REST paralela (JSON), a partir do mesmo monolito, para consumo pelo app mobile.","Endpoints REST em JSON para Pet, Consulta e Plano de Cuidado; API protegida (token/sessao) compativel com o app mobile; contrato documentado (OpenAPI/Swagger); testado com client externo.","KuraVet;Java;API","Monolito Java (Spring Boot)"
"Task","T4.3.1 - Endpoints REST JSON (Pet, Consulta, Plano)","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Implementacao dos endpoints REST.","Dependencias: PBI 4.2","KuraVet;Java","PBI 4.3 - API JSON Paralela para o App Mobile"
"Task","T4.3.2 - Protecao da API (token/sessao)","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Autenticacao compativel com o app mobile.","Dependencias: T4.3.1","KuraVet;Java","PBI 4.3 - API JSON Paralela para o App Mobile"
"Task","T4.3.3 - Documentacao OpenAPI e testes com client externo","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Swagger e testes via Postman/Insomnia.","Dependencias: T4.3.1","KuraVet;Java","PBI 4.3 - API JSON Paralela para o App Mobile"
"Product Backlog Item","PBI 5.1 - Navegacao Real e Telas Protegidas","New","KuraVet","KuraVet\Release 1\Sprint 3","2","8","Navegacao real (React Navigation) com no minimo 6 telas protegidas por autenticacao.","Minimo de 6 telas navegaveis via rotas reais (Stack/Tab); telas protegidas redirecionam para login quando nao autenticado; fluxo validado por roteiro de QA.","KuraVet;Mobile;ReactNative","App Mobile (React Native)"
"Task","T5.1.1 - Setup React Navigation (Stack/Tab)","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Configuracao base de navegacao.","Dependencias: -","KuraVet;Mobile","PBI 5.1 - Navegacao Real e Telas Protegidas"
"Task","T5.1.2 - Implementacao das 6 telas","New","KuraVet","KuraVet\Release 1\Sprint 3","","4","Estrutura e layout das telas.","Dependencias: T5.1.1","KuraVet;Mobile","PBI 5.1 - Navegacao Real e Telas Protegidas"
"Task","T5.1.3 - Guard de rotas protegidas","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Redirecionamento para login quando nao autenticado.","Dependencias: PBI 5.3","KuraVet;Mobile","PBI 5.1 - Navegacao Real e Telas Protegidas"
"Task","T5.1.4 - Testes manuais de navegacao","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Roteiro de QA de navegacao.","Dependencias: T5.1.2;T5.1.3","KuraVet;Mobile","PBI 5.1 - Navegacao Real e Telas Protegidas"
"Product Backlog Item","PBI 5.2 - Integracao de API (TanStack Query)","New","KuraVet","KuraVet\Release 1\Sprint 3","3","5","Consumo da API do backend Java via TanStack Query, com loading e timeout estendido de 60 segundos.","Requisicoes usam useQuery/useMutation com cache; estados de loading visiveis em todas as telas; timeout de 60 segundos configurado; tratamento de erro de timeout/rede com feedback ao usuario.","KuraVet;Mobile;API","App Mobile (React Native)"
"Task","T5.2.1 - Client HTTP com timeout de 60s","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Configuracao do client HTTP.","Dependencias: PBI 4.3","KuraVet;Mobile","PBI 5.2 - Integracao de API (TanStack Query)"
"Task","T5.2.2 - Queries/mutations (TanStack Query)","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Implementacao de useQuery/useMutation.","Dependencias: T5.2.1","KuraVet;Mobile","PBI 5.2 - Integracao de API (TanStack Query)"
"Task","T5.2.3 - Estados de loading e tratamento de erro","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","UI de loading e erro nas telas.","Dependencias: T5.2.2","KuraVet;Mobile","PBI 5.2 - Integracao de API (TanStack Query)"
"Product Backlog Item","PBI 5.3 - Autenticacao Externa e Desacoplada (Firebase)","New","KuraVet","KuraVet\Release 1\Sprint 3","2","5","Autenticacao via Firebase Authentication, integrada ao fluxo de login, desacoplada da logica de negocio.","Login/cadastro via Firebase Auth funcional (e-mail/senha); token do Firebase usado nas chamadas a API; autenticacao desacoplada em camada de servico isolada; logout e persistencia de sessao funcionando.","KuraVet;Mobile;Firebase","App Mobile (React Native)"
"Task","T5.3.1 - Configuracao do projeto Firebase e SDK","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Setup do Firebase no app.","Dependencias: -","KuraVet;Mobile","PBI 5.3 - Autenticacao Externa e Desacoplada (Firebase)"
"Task","T5.3.2 - Login/cadastro (Firebase Auth)","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Implementacao do fluxo de autenticacao.","Dependencias: T5.3.1","KuraVet;Mobile","PBI 5.3 - Autenticacao Externa e Desacoplada (Firebase)"
"Task","T5.3.3 - Persistencia de sessao e logout","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Manutencao de sessao e logout.","Dependencias: T5.3.2","KuraVet;Mobile","PBI 5.3 - Autenticacao Externa e Desacoplada (Firebase)"
"Task","T5.3.4 - Testes de fluxo de autenticacao","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Validacao do fluxo completo de auth.","Dependencias: T5.3.2;T5.3.3","KuraVet;Mobile","PBI 5.3 - Autenticacao Externa e Desacoplada (Firebase)"
